Sl,avg_data2
0,357.0
1,357.0
2,357.0
3,357.0
4,356.0
5,356.0
6,356.0
7,356.0
8,356.0
9,356.0
10,356.0
11,356.0
12,356.0
13,356.0
14,356.0
15,356.0
16,357.0
17,357.0
18,357.0
19,356.0
20,356.0
21,357.0
22,357.0
23,357.0
24,357.0
25,357.0
26,357.0
27,357.0
28,357.0
29,357.0
30,357.0
31,357.0
32,357.0
33,357.0
34,357.0
35,357.0
36,357.0
37,357.0
38,357.0
39,357.0
40,357.0
41,357.0
42,357.0
43,357.0
44,357.0
45,357.0
46,357.0
47,357.0
48,357.0
49,357.0
50,357.0
51,357.0
52,357.0
53,357.0
54,357.0
55,357.0
56,357.0
57,357.0
58,357.0
59,357.0
60,357.0
61,357.0
62,357.0
63,357.0
64,357.0
65,357.0
66,357.0
67,357.0
68,357.0
69,357.0
70,357.0
71,357.0
72,357.0
73,357.0
74,357.0
75,357.0
76,357.0
77,357.0
78,357.0
79,357.0
80,357.0
81,357.0
82,357.0
83,357.0
84,357.0
85,357.0
86,357.0
87,357.0
88,357.0
89,357.0
90,357.0
91,357.0
92,357.0
93,357.0
94,357.0
95,357.0
96,357.0
97,357.0
98,357.0
99,357.0
100,357.0
101,357.0
102,357.0
103,357.0
104,357.0
105,357.0
106,357.0
107,357.0
108,357.0
109,357.0
110,357.0
111,357.0
112,357.0
113,357.0
114,357.0
115,357.0
116,357.0
117,357.0
118,357.0
119,357.0
120,357.0
121,357.0
122,357.0
123,357.0
124,357.0
125,357.0
126,357.0
127,357.0
128,357.0
129,357.0
130,357.0
131,357.0
132,357.0
133,357.0
134,357.0
135,357.0
136,357.0
137,357.0
138,357.0
139,357.0
140,357.0
141,357.0
142,357.0
143,357.0
144,357.0
145,357.0
146,357.0
147,357.0
148,357.0
149,357.0
150,357.0
151,357.0
152,357.0
153,357.0
154,357.0
155,357.0
156,357.0
157,357.0
158,357.0
159,357.0
160,357.0
161,357.0
162,357.0
163,357.0
164,357.0
165,357.0
166,357.0
167,357.0
168,357.0
169,357.0
170,357.0
171,357.0
172,357.0
173,357.0
174,357.0
175,357.0
176,357.0
177,357.0
178,357.0
179,357.0
180,357.0
181,357.0
182,357.0
183,357.0
184,357.0
185,357.0
186,357.0
187,357.0
188,357.0
189,357.0
190,357.0
191,357.0
192,357.0
193,357.0
194,357.0
195,357.0
196,357.0
197,357.0
198,357.0
199,357.0
200,357.0
201,357.0
202,357.0
203,357.0
204,357.0
205,357.0
206,357.0
207,357.0
208,357.0
209,357.0
210,357.0
211,357.0
212,357.0
213,357.0
214,357.0
215,357.0
216,357.0
217,357.0
218,357.0
219,357.0
220,357.0
221,357.0
222,357.0
223,357.0
224,357.0
225,357.0
226,357.0
227,357.0
228,357.0
229,357.0
230,357.0
231,357.0
232,357.0
233,357.0
234,357.0
235,357.0
236,357.0
237,357.0
238,357.0
239,357.0
240,357.0
241,357.0
242,357.0
243,357.0
244,357.0
245,357.0
246,357.0
247,357.0
248,357.0
249,357.0
250,357.0
251,357.0
252,357.0
253,357.0
254,357.0
255,357.0
256,357.0
257,357.0
258,357.0
259,357.0
260,357.0
261,357.0
262,357.0
263,357.0
264,357.0
265,357.0
266,357.0
267,357.0
268,357.0
269,357.0
270,357.0
271,357.0
272,357.0
273,357.0
274,357.0
275,357.0
276,357.0
277,357.0
278,265.0
